0 053, 1 057, 2 055, 4 054, 6 04d, 8 04b, 10 052, 12 054, 14 056, 16 05b, 18 060, 20 05a, 22 05a, 24 057, 26 04f, 28 055, 30 05d, 32 05d, 34 060
0 02a, 1 03e, 2 028, 4 024, 6 025, 8 023, 10 034, 12 029, 14 02c, 16 03c, 18 050, 20 063, 22 06a, 24 066, 26 064, 28 05a, 30 04a, 32 03c, 34 038
0 020, 1 022, 2 02c, 4 02d, 6 026, 8 021, 10 027, 12 021, 14 026, 16 02c, 18 035, 20 02a, 22 02d, 24 035, 26 030, 28 033, 30 039, 32 031, 34 02f
0 01d, 1 01d, 2 01a, 4 01b, 6 01d, 8 01c, 10 018, 12 01f, 14 01c, 16 01a, 18 019, 20 01b, 22 018, 24 01e, 26 024, 28 025, 30 02a, 32 028, 34 025
0 01f, 1 01f, 2 023, 4 020, 6 025, 8 01c, 10 02b, 12 024, 14 032, 16 035, 18 03e, 20 032, 22 034, 24 033, 26 023, 28 029, 30 023, 32 022, 34 01f
0 011, 1 00f, 2 022, 4 015, 6 016, 8 017, 10 015, 12 016, 14 012, 16 013, 18 015, 20 00d, 22 014, 24 01b, 26 022, 28 021, 30 024, 32 024, 34 022
0 027, 1 012, 2 01c, 4 01c, 6 019, 8 01d, 10 020, 12 01f, 14 01e, 16 01a, 18 01e, 20 019, 22 01c, 24 01a, 26 01a, 28 01f, 30 030, 32 03b, 34 040
0 01c, 1 01d, 2 02d, 4 02c, 6 029, 8 028, 10 029, 12 01e, 14 01b, 16 01e, 18 01c, 20 01c, 22 01c, 24 01b, 26 019, 28 019, 30 01d, 32 023, 34 025
0 01e, 1 012, 2 035, 4 02c, 6 025, 8 01c, 10 014, 12 00e, 14 012, 16 011, 18 018, 20 018, 22 01a, 24 019, 26 017, 28 01a, 30 01b, 32 01b, 34 01d
0 030, 1 032, 2 031, 4 031, 6 030, 8 032, 10 02f, 12 033, 14 030, 16 030, 18 02f, 20 031, 22 031, 24 02f, 26 030, 28 033, 30 035, 32 03d, 34 03e
0 016, 1 012, 2 01f, 4 01c, 6 01a, 8 01a, 10 01f, 12 01a, 14 015, 16 016, 18 01c, 20 01e, 22 024, 24 023, 26 028, 28 026, 30 028, 32 01e, 34 01d
0 013, 1 021, 2 021, 4 018, 6 018, 8 01c, 10 025, 12 01f, 14 01e, 16 01d, 18 023, 20 022, 22 021, 24 020, 26 01f, 28 022, 30 022, 32 021, 34 018
0 020, 1 01d, 2 027, 4 026, 6 022, 8 01d, 10 021, 12 01a, 14 015, 16 013, 18 01b, 20 01e, 22 027, 24 028, 26 022, 28 023, 30 025, 32 022, 34 022
0 02f, 1 010, 2 019, 4 01a, 6 018, 8 018, 10 016, 12 017, 14 014, 16 014, 18 018, 20 015, 22 019, 24 01b, 26 01e, 28 029, 30 038, 32 03d, 34 040
0 015, 1 014, 2 015, 4 015, 6 015, 8 012, 10 016, 12 010, 14 01d, 16 026, 18 039, 20 03b, 22 02f, 24 028, 26 01d, 28 020, 30 01d, 32 01b, 34 017
0 012, 1 016, 2 017, 4 018, 6 016, 8 014, 10 015, 12 00f, 14 00b, 16 011, 18 016, 20 019, 22 01d, 24 01a, 26 014, 28 016, 30 01c, 32 022, 34 027
0 025, 1 027, 2 027, 4 029, 6 025, 8 025, 10 025, 12 027, 14 026, 16 024, 18 021, 20 027, 22 02a, 24 02b, 26 031, 28 02e, 30 02a, 32 027, 34 029
0 022, 1 026, 2 022, 4 01b, 6 01b, 8 015, 10 022, 12 01a, 14 016, 16 028, 18 044, 20 04d, 22 046, 24 045, 26 055, 28 044, 30 03c, 32 031, 34 02d
0 039, 1 029, 2 039, 4 035, 6 035, 8 038, 10 046, 12 02f, 14 026, 16 02e, 18 045, 20 034, 22 02e, 24 030, 26 030, 28 030, 30 02f, 32 037, 34 03e
0 02c, 1 02d, 2 038, 4 030, 6 028, 8 02b, 10 02e, 12 02e, 14 031, 16 032, 18 030, 20 02c, 22 02b, 24 02f, 26 034, 28 031, 30 032, 32 02f, 34 02f
0 033, 1 03b, 2 05d, 4 059, 6 060, 8 04c, 10 03f, 12 046, 14 055, 16 053, 18 04e, 20 044, 22 034, 24 033, 26 029, 28 02c, 30 030, 32 036, 34 03d
0 035, 1 028, 2 056, 4 052, 6 04b, 8 03d, 10 03f, 12 02e, 14 026, 16 01e, 18 021, 20 023, 22 02c, 24 032, 26 02c, 28 031, 30 031, 32 030, 34 02e
0 017, 1 01f, 2 015, 4 014, 6 017, 8 017, 10 01a, 12 01f, 14 021, 16 025, 18 02b, 20 027, 22 021, 24 01d, 26 018, 28 019, 30 017, 32 01a, 34 01d
0 094, 1 097, 2 0b0, 4 0b6, 6 0bf, 8 0c4, 10 0c8, 12 0c4, 14 0b8, 16 0b6, 18 0ab, 20 098, 22 08a, 24 082, 26 088, 28 081, 30 083, 32 089, 34 08e
0 019, 1 018, 2 015, 4 01a, 6 023, 8 032, 10 040, 12 03b, 14 03b, 16 03c, 18 039, 20 019, 22 01c, 24 013, 26 012, 28 016, 30 01f, 32 020, 34 020
0 041, 1 049, 2 048, 4 043, 6 047, 8 04c, 10 04d, 12 04c, 14 04a, 16 04b, 18 04c, 20 047, 22 045, 24 040, 26 038, 28 035, 30 03c, 32 052, 34 066
0 039, 1 029, 2 093, 4 08f, 6 083, 8 076, 10 067, 12 062, 14 04f, 16 042, 18 040, 20 036, 22 02f, 24 031, 26 037, 28 035, 30 046, 32 049, 34 046
0 01f, 1 025, 2 028, 4 025, 6 020, 8 022, 10 023, 12 024, 14 01b, 16 021, 18 024, 20 02f, 22 044, 24 05c, 26 06c, 28 061, 30 066, 32 05f, 34 055
0 052, 1 057, 2 05e, 4 062, 6 067, 8 066, 10 06d, 12 057, 14 055, 16 062, 18 07f, 20 072, 22 066, 24 058, 26 055, 28 058, 30 053, 32 050, 34 053
0 022, 1 049, 2 03b, 4 024, 6 026, 8 01e, 10 020, 12 028, 14 038, 16 047, 18 065, 20 071, 22 077, 24 073, 26 05d, 28 060, 30 051, 32 049, 34 045
0 02d, 1 030, 2 02b, 4 02b, 6 031, 8 031, 10 033, 12 037, 14 039, 16 037, 18 030, 20 034, 22 038, 24 03d, 26 031, 28 03c, 30 03b, 32 03a, 34 039
0 019, 1 022, 2 024, 4 02a, 6 02b, 8 030, 10 042, 12 031, 14 02c, 16 02b, 18 02f, 20 01d, 22 020, 24 01e, 26 01f, 28 01d, 30 021, 32 027, 34 022
0 023, 1 02a, 2 027, 4 025, 6 025, 8 026, 10 024, 12 02a, 14 032, 16 034, 18 037, 20 038, 22 036, 24 02e, 26 02d, 28 023, 30 01c, 32 01e, 34 025
