0 0fc, 1 138, 2 0b8, 4 0ac, 6 099, 8 059, 10 037, 12 0e1, 14 1a3, 16 246, 18 2d0, 20 27f, 22 305, 24 2b8, 26 310, 28 296, 30 2ec, 32 330, 34 387
0 2a9, 1 23c, 2 0a8, 4 09b, 6 089, 8 057, 10 0a8, 12 07f, 14 123, 16 1e7, 18 1df, 20 25b, 22 31c, 24 3d7, 26 43e, 28 4ba, 30 526, 32 52e, 34 53c
0 025, 1 01f, 2 01e, 4 018, 6 016, 8 020, 10 034, 12 02e, 14 027, 16 02b, 18 02f, 20 029, 22 02a, 24 02c, 26 029, 28 02c, 30 02c, 32 02c, 34 02c
0 025, 1 01f, 2 01f, 4 01f, 6 01f, 8 01f, 10 01f, 12 020, 14 023, 16 026, 18 029, 20 02c, 22 02e, 24 02f, 26 02f, 28 02f, 30 02f, 32 02f, 34 02f
0 1ab, 1 344, 2 3e0, 4 3e0, 6 3e0, 8 3e0, 10 382, 12 3e0, 14 3df, 16 3b6, 18 3a1, 20 347, 22 2b8, 24 1b3, 26 0e8, 28 0bb, 30 267, 32 40b, 34 5bb
0 189, 1 1a0, 2 34c, 4 33c, 6 327, 8 314, 10 296, 12 313, 14 2ff, 16 2b2, 18 22e, 20 198, 22 12c, 24 0a2, 26 0a4, 28 065, 30 044, 32 043, 34 067
0 14e, 1 335, 2 4ff, 4 4ff, 6 4ff, 8 4ff, 10 470, 12 4ff, 14 4e8, 16 483, 18 464, 20 3c0, 22 2d7, 24 179, 26 07f, 28 0e6, 30 2d3, 32 490, 34 64d
0 10b, 1 144, 2 2a1, 4 2ac, 6 2bc, 8 2d2, 10 269, 12 2f3, 14 2e0, 16 280, 18 1f5, 20 13c, 22 0ba, 24 04f, 26 072, 28 078, 30 092, 32 0a4, 34 0b0
0 036, 1 044, 2 01d, 4 023, 6 02c, 8 032, 10 048, 12 02d, 14 032, 16 037, 18 03b, 20 031, 22 035, 24 043, 26 05d, 28 053, 30 05b, 32 05e, 34 05b
0 016, 1 014, 2 021, 4 01f, 6 01b, 8 016, 10 01f, 12 01f, 14 02d, 16 033, 18 03c, 20 041, 22 046, 24 045, 26 039, 28 03e, 30 03c, 32 037, 34 02f
0 00c, 1 00d, 2 00d, 4 00d, 6 00b, 8 00c, 10 00b, 12 00d, 14 012, 16 014, 18 018, 20 016, 22 016, 24 011, 26 00d, 28 00d, 30 00d, 32 00f, 34 011
0 01d, 1 018, 2 01b, 4 01b, 6 01b, 8 01b, 10 019, 12 01b, 14 01a, 16 01b, 18 01a, 20 01c, 22 01e, 24 020, 26 023, 28 025, 30 027, 32 02a, 34 02b
0 175, 1 338, 2 48e, 4 48e, 6 48e, 8 48e, 10 3ff, 12 48e, 14 473, 16 40a, 18 3f0, 20 349, 22 267, 24 10d, 26 03c, 28 125, 30 30b, 32 4b4, 34 659
0 13d, 1 149, 2 2da, 4 2da, 6 2da, 8 2da, 10 277, 12 2da, 14 2ae, 16 244, 18 1cc, 20 12a, 22 0be, 24 04e, 26 048, 28 05c, 30 072, 32 075, 34 072
0 144, 1 2ff, 2 455, 4 455, 6 455, 8 455, 10 3c6, 12 455, 14 43a, 16 3d1, 18 3b7, 20 310, 22 22e, 24 0d4, 26 069, 28 15e, 30 344, 32 4ed, 34 692
0 1a0, 1 1e9, 2 173, 4 149, 6 12c, 8 116, 10 0ba, 12 130, 14 13f, 16 179, 18 1d9, 20 255, 22 2c5, 24 313, 26 34e, 28 373, 30 389, 32 38c, 34 389
0 0c6, 1 0ae, 2 1d9, 4 0ce, 6 04d, 8 09b, 10 0ae, 12 0ae, 14 0ae, 16 0ae, 18 0ae, 20 0ae, 22 0ae, 24 0ae, 26 0ae, 28 0ae, 30 0ae, 32 0ae, 34 0ae
